"y2_hhid","reg","dis","ward","id","con","ccm_leg10","split_leg10","ccm_prez10","split_prez10"
"0101014002017101","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0101014002028401","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0101014002029701","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0101014002029704","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0101014002040901","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0101014002047101","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0101014002055101","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0101014002076101","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0101014002076201","DODOMA","KONDOA","PARANGA",112,"KONDOA KUSINI",1,63.11,1,64.66
"0102003003000401","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102003003002201","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102003003014001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102003003016101","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102003003017401","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102003003017407","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102003003020001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102003003043001","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102003003047901","DODOMA","MPWAPWA","MATOMONDO",119,"MPWAPWA",1,100,1,77.21
"0102017003000101","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0102017003000104","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0102017003001701","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0102017003002201","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0102017003004801","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0102017003010001","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0102017003020901","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0102017003024101","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0102017003024601","DODOMA","MPWAPWA","LUMUMA",120,NA,NA,NA,NA,NA
"0103013004016101","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0103013004021901","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0103013004025901","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0103013004034601","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0103013004046801","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0103013004068501","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0103013004073901","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0103013004074501","DODOMA","KONGWA","UGOGONI",115,"KONGWA",1,100,1,81.15
"0103013301006801","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0103013301009201","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0103013301017501","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0103013301018801","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0103013301018803","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
"0103013301030001","DODOMA","KONGWA","KONGWA",116,"KONGWA",1,100,1,81.15
