id,reg,dis,con,ward,ccm_leg10,split_leg10
74,DAR-ES-SALAAM,KINONDONI,KINONDONI,NDUGUMBI,1,22.99
75,DAR-ES-SALAAM,KINONDONI,KINONDONI,MAKUMBUSHO,1,22.99
76,DAR-ES-SALAAM,KINONDONI,KINONDONI,TANDALE,1,22.99
77,DAR-ES-SALAAM,KINONDONI,KINONDONI,MWANANYAMALA,1,22.99
78,DAR-ES-SALAAM,KINONDONI,KINONDONI,MAGOMENI,1,22.99
79,DAR-ES-SALAAM,KINONDONI,KINONDONI,KINONDONI,1,22.99
80,DAR-ES-SALAAM,ILALA,ILALA,UPANGA MAGHARIBI,1,46.04
81,DAR-ES-SALAAM,ILALA,ILALA,JANGWANI,1,46.04
82,DAR-ES-SALAAM,KINONDONI,KINONDONI,MZIMUNI,1,22.99
83,DAR-ES-SALAAM,KINONDONI,KINONDONI,KIGOGO,1,22.99
84,DAR-ES-SALAAM,KINONDONI,UBUNGO,MBURAHATI,0,12.03
85,DAR-ES-SALAAM,KINONDONI,UBUNGO,MAKURUMLA,0,12.03
86,DAR-ES-SALAAM,KINONDONI,UBUNGO,UBUNGO,0,12.03
87,DAR-ES-SALAAM,KINONDONI,UBUNGO,MANZESE,0,12.03
88,DAR-ES-SALAAM,KINONDONI,KINONDONI,KIJITONYAMA,1,22.99
89,DAR-ES-SALAAM,KINONDONI,UBUNGO,MBEZI,0,12.03
90,DAR-ES-SALAAM,KINONDONI,KAWE,KAWE,0,8.91
91,DAR-ES-SALAAM,KINONDONI,KAWE,KUNDUCHI,0,8.91
92,DAR-ES-SALAAM,KINONDONI,KAWE,BUNJU,0,8.91
93,DAR-ES-SALAAM,KINONDONI,UBUNGO,MAKUBURI,0,12.03
94,DAR-ES-SALAAM,KINONDONI,UBUNGO,SINZA,0,12.03
95,DAR-ES-SALAAM,KINONDONI,KAWE,MIKOCHENI,0,8.91
96,DAR-ES-SALAAM,KINONDONI,UBUNGO,KIMARA,0,12.03
97,DAR-ES-SALAAM,ILALA,UKONGA,UKONGA,1,20.73
98,DAR-ES-SALAAM,ILALA,UKONGA,PUGU,1,20.73
99,DAR-ES-SALAAM,ILALA,UKONGA,KITUNDA,1,20.73
100,DAR-ES-SALAAM,ILALA,UKONGA,KIPAWA,1,20.73
101,DAR-ES-SALAAM,ILALA,UKONGA,VINGUNGUTI,1,20.73
102,DAR-ES-SALAAM,ILALA,UKONGA,TABATA,1,20.73
103,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,KIGAMBONI,1,26.47
104,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,TOANGOMA,1,26.47
105,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,MJI MWEMA,1,26.47
106,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,CHARAMBE,1,26.47
107,DAR-ES-SALAAM,TEMEKE,TEMEKE,KURASINI,1,24.35
108,DAR-ES-SALAAM,TEMEKE,TEMEKE,TANDIKA,1,24.35
109,DAR-ES-SALAAM,TEMEKE,TEMEKE,MTONI,1,24.35
110,DAR-ES-SALAAM,TEMEKE,TEMEKE,SANDALI,1,24.35
111,DAR-ES-SALAAM,TEMEKE,TEMEKE,MIBURANI,1,24.35
112,DAR-ES-SALAAM,TEMEKE,TEMEKE,TEMEKE,1,24.35
113,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,MBAGALA KUU,1,26.47
114,DAR-ES-SALAAM,TEMEKE,TEMEKE,AZIMIO,1,24.35
115,DAR-ES-SALAAM,TEMEKE,TEMEKE,MAKANGARAWE,1,24.35
116,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,PEMBA MNAZI,1,26.47
117,LINDI,KILWA,KILWA KASKAZINI,TINGI,1,25.38
118,LINDI,KILWA,KILWA KASKAZINI,KIPATIMU,1,25.38
119,LINDI,KILWA,KILWA KASKAZINI,NJINJO,1,25.38
120,LINDI,KILWA,KILWA KUSINI,PANDE,0,1.98
121,LINDI,KILWA,KILWA KUSINI,KIVINJE SINGINO,0,1.98
122,LINDI,KILWA,KILWA KUSINI,MASOKO,0,1.98
123,LINDI,LINDI RURAL,MTAMA,NAMUPA,1,69.06
124,LINDI,LINDI RURAL,MTAMA,MNARA,1,69.06
125,LINDI,LINDI RURAL,MCHINGA,MILOLA,1,17.87
126,LINDI,NACHINGWEA,NACHINGWEA,KILIMA RONDO,1,43.21
127,LINDI,LIWALE,LIWALE,LIWALE 'B',1,20.45
128,LINDI,LIWALE,LIWALE,NGONGOWELE,1,20.45
129,LINDI,LIWALE,LIWALE,MLEMBWE,1,20.45
130,LINDI,LIWALE,LIWALE,LIWALE MJINI,1,20.45
131,LINDI,RUANGWA,RUANGWA,RUANGWA,1,49.18
132,LINDI,RUANGWA,RUANGWA,CHIENJERE,1,49.18
133,LINDI,RUANGWA,RUANGWA,NARUNG'OMBE,1,49.18
134,LINDI,LINDI URBAN,LINDI MJINI,MTANDA,0,6.69
135,LINDI,LINDI URBAN,LINDI MJINI,JAMHURI,0,6.69
136,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,MTINIKO,1,38.02
137,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,DIHIMBA,1,38.02
138,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,MNIMA,1,38.02
139,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,NDUMBWE,1,38.02
140,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,NAUMBU,1,38.02
141,MTWARA,NEWALA,NEWALA,LUCHINGU,1,35.63
142,MTWARA,NEWALA,NEWALA,MCHOLI II,1,35.63
143,MTWARA,NEWALA,NEWALA,MTOPWA,1,35.63
144,MTWARA,NEWALA,NEWALA,CHIWONGA,1,35.63
145,MTWARA,NEWALA,NEWALA,MAKUKWE,1,35.63
146,MTWARA,MASASI,MASASI,MASASI,1,48.69
147,MTWARA,MASASI,MASASI,LISEKESE,1,48.69
148,MTWARA,MASASI,MASASI,CHIGUGU,1,48.69
149,MTWARA,NEWALA,MASASI,NANGANGA,1,48.69
150,MTWARA,MASASI,NANYUMBU,NANGOMBA,1,22.83
151,MTWARA,MASASI,LULINDI,MKULULU,1,57
152,MTWARA,TANDAHIMBA,TANDAHIMBA,MKOREHA,1,1.47
153,MTWARA,TANDAHIMBA,TANDAHIMBA,NANHYANGA,1,1.47
154,MTWARA,MTWARA URBAN,MTWARA MJINI,LIKOMBE,1,21.73
155,MTWARA,MTWARA URBAN,MTWARA MJINI,VIGAENI,1,21.73
156,MTWARA,MTWARA URBAN,MASASI,MWENA,1,48.69
157,MTWARA,MTWARA URBAN,MTWARA MJINI,SHANGANI,1,21.73
158,RUVUMA,TUNDURU,TUNDURU KASKAZINI,MLINGOTI MASHARIKI,1,7.78
159,RUVUMA,TUNDURU,TUNDURU KASKAZINI,MLINGOTI MAGHARIBI,1,7.78
160,RUVUMA,SONGEA RURAL,PERAMIHO,MUHUKURU,1,81.22
161,RUVUMA,SONGEA RURAL,PERAMIHO,MAPOSENI,1,81.22
162,RUVUMA,SONGEA RURAL,PERAMIHO,LILAMBO,1,81.22
163,RUVUMA,NAMTUMBO,PERAMIHO,MATIMIRA,1,81.22
164,RUVUMA,MBINGA,MBINGA MAGHARIBI,KILOSA,1,64.85
165,RUVUMA,MBINGA,MBINGA MAGHARIBI,KINGERIKITI,1,64.85
166,RUVUMA,MBINGA,MBINGA MAGHARIBI,LIULI,1,64.85
167,RUVUMA,MBINGA,MBINGA MASHARIKI,MBUJI,1,79.42
