"y3_hhid","reg","dis","ward","id","con","ccm_leg10","split_leg10","ccm_prez10","split_prez10"
"2251-001","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2251-006","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2252-001","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2253-001","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2254-001","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2255-001","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2255-004","MANYARA","BABATI","MAGUGU",306,"BABATI VIJIJINI",1,1.55,0,5.59
"2256-001","KILIMANJARO","MWANGA","JIPE",248,"MWANGA",1,61.47,1,60.32
"2257-001","SINGIDA","IRAMBA","MTOA",692,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2258-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2259-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2260-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2261-001","TABORA","NZEGA","ITILO",732,"NZEGA",1,34.36,1,38.12
"2262-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2263-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2263-002","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2264-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2264-004","TABORA","NZEGA","NZAGA MJINI",729,"NZEGA",1,34.36,1,38.12
"2265-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2266-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2267-001","SINGIDA","SINGIDA RURAL","ISSUNA",708,"SINGIDA MASHARIKI",0,6,1,32.39
"2268-001","SINGIDA","MANYONI","MANYONL",703,NA,NA,NA,NA,NA
"2268-003","SINGIDA","MANYONI","MANYONL",703,NA,NA,NA,NA,NA
"2268-004","SINGIDA","MANYONI","MANYONL",703,NA,NA,NA,NA,NA
"2269-001","SINGIDA","MANYONI","MAKURU",701,"MANYONI MASHARIKI",1,77.22,1,75.41
"2270-001","SINGIDA","MANYONI","MAKURU",701,"MANYONI MASHARIKI",1,77.22,1,75.41
"2271-001","SINGIDA","MANYONI","MAKURU",701,"MANYONI MASHARIKI",1,77.22,1,75.41
"2271-003","SINGIDA","MANYONI","MAKURU",701,"MANYONI MASHARIKI",1,77.22,1,75.41
"2272-001","SINGIDA","MANYONI","MAKURU",701,"MANYONI MASHARIKI",1,77.22,1,75.41
"2273-001","SINGIDA","MANYONI","MAKURU",701,"MANYONI MASHARIKI",1,77.22,1,75.41
"2274-001","SINGIDA","MANYONI","MAKURU",701,"MANYONI MASHARIKI",1,77.22,1,75.41
"2274-003","SINGIDA","MANYONI","MAKURU",701,"MANYONI MASHARIKI",1,77.22,1,75.41
