"y3_hhid","reg","dis","ward","id","con","ccm_leg10","split_leg10","ccm_prez10","split_prez10"
"2076-001","MBEYA","CHUNYA","MAKONGOROSI",342,"LUPA",1,15.59,1,60.1
"2077-001","MBEYA","CHUNYA","MAKONGOROSI",342,"LUPA",1,15.59,1,60.1
"2078-001","MBEYA","CHUNYA","MAKONGOROSI",342,"LUPA",1,15.59,1,60.1
"2079-001","MBEYA","CHUNYA","MAKONGOROSI",342,"LUPA",1,15.59,1,60.1
"2080-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2080-005","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2081-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2082-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2083-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2084-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2085-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2085-002","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2086-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2087-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2088-001","MBEYA","CHUNYA","IFUMBO",343,"LUPA",1,15.59,1,60.1
"2089-001","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2091-001","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2092-001","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2093-001","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2094-001","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2094-004",NA,NA,NA,809,NA,NA,NA,NA,NA
"2095-001","MBEYA","CHUNYA","MAKONGOROSI",342,"LUPA",1,15.59,1,60.1
"2096-001","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2097-001","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2097-002","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2098-001","MBEYA","CHUNYA","MBANGALA",344,"SONGWE",1,100,1,66.98
"2099-001","MBEYA","MBOZI","CHILULUMO",372,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2100-001","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2100-003","MBEYA","MBEYA RURAL","IWIJI",357,"MBEYA VIJIJINI",1,22.51,1,40.14
"2101-001","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2102-001","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2103-002","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2104-001","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2105-001","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2106-001","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2107-001","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2107-004","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2108-001","MBEYA","MBEYA RURAL","ILEMBO",355,"MBEYA VIJIJINI",1,22.51,1,40.14
"2109-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2110-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2111-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2112-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2112-002","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2113-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2114-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2115-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2116-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2117-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2118-001","MBEYA","MBEYA RURAL","ISUTO",356,"MBEYA VIJIJINI",1,22.51,1,40.14
"2119-001","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2120-001","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2121-001","MBEYA","RUNGWE","KAMBASEGELA",378,"RUNGWE MASHARIKI",1,100,1,31.57
"2122-002","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2123-001","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2123-003","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2124-001","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2125-001","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2126-001","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2126-002","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2127-001","MBEYA","KYELA","MATEMA",350,"KYELA",1,80.22,1,4.1
"2128-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2129-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2130-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2131-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2131-002","IRINGA","NJOMBE","UWEMBA",156,"MUFINDI KUSINI",1,100,1,74.3
"2131-005","DAR-ES-SALAAM","KINONDONI","KUNDUCHI",64,"KAWE",0,8.91,1,4.87
"2132-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2132-008","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2133-002","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2134-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2135-001","DAR-ES-SALAAM","ILALA","UKONGA",36,"UKONGA",1,20.73,1,17.51
"2136-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2137-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2137-003","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2138-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2139-001","RUVUMA","SONGEA RURAL","MUHUKURU",603,"PERAMIHO",1,81.22,1,65.77
"2140-001","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2140-002","MBEYA","KYELA","BUJONDE",351,"KYELA",1,80.22,1,4.1
"2141-001","MBEYA","RUNGWE","LSANGE",375,"RUNGWE MASHARIKI",1,100,1,31.57
"2142-001","MBEYA","RUNGWE","LSANGE",375,"RUNGWE MASHARIKI",1,100,1,31.57
"2143-001","MBEYA","MBEYA URBAN","IYELA",363,"MBEYA MJINI",0,29.88,0,13.66
"2144-001","MBEYA","RUNGWE","LSANGE",375,"RUNGWE MASHARIKI",1,100,1,31.57
"2144-003","MBEYA","RUNGWE","LSANGE",375,"RUNGWE MASHARIKI",1,100,1,31.57
"2145-001","MBEYA","RUNGWE","LSANGE",375,"RUNGWE MASHARIKI",1,100,1,31.57
"2147-001","MBEYA","RUNGWE","LSANGE",375,"RUNGWE MASHARIKI",1,100,1,31.57
"2148-001","MBEYA","RUNGWE","LUFINGO",376,"RUNGWE MAGHARIBI",1,100,1,23.04
"2149-001","MBEYA","MBEYA URBAN","UYOLE",362,"MBEYA MJINI",0,29.88,0,13.66
"2150-001","MBEYA","RUNGWE","LUFINGO",376,"RUNGWE MAGHARIBI",1,100,1,23.04
"2151-001","MBEYA","RUNGWE","LUFINGO",376,"RUNGWE MAGHARIBI",1,100,1,23.04
"2152-001","MBEYA","RUNGWE","LUFINGO",376,"RUNGWE MAGHARIBI",1,100,1,23.04
"2153-001","MBEYA","RUNGWE","LUFINGO",376,"RUNGWE MAGHARIBI",1,100,1,23.04
"2154-001","MBEYA","RUNGWE","LUFINGO",376,"RUNGWE MAGHARIBI",1,100,1,23.04
"2155-001","MBEYA","MBARALI","IGURUSI",354,"MBARALI",1,35.24,1,30.43
"2156-001","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2157-001","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2158-001","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2159-001","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2160-001","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2161-001","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2162-001","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2163-002","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2164-001","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2164-005","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2164-007","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2165-001","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2166-001","MBEYA","MBOZI","TUNDUMA",370,"MBOZI MASHARIKI",1,20.49,1,36.72
"2167-001","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2168-001","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2168-002","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2169-001","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2169-004","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2170-001","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2171-001","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2171-003","MBEYA","ILEJE","ISONGOLE",348,"ILEJE",1,69.31,1,44.4
"2172-001","MBEYA","ILEJE","CHITETE",349,"ILEJE",1,69.31,1,44.4
"2174-001","MOROGORO","MOROGORO URBAN","UWANJA WA TAIFA",406,"MOROGORO MJINI",1,38.25,1,28.09
"2175-001","MBEYA","ILEJE","CHITETE",349,"ILEJE",1,69.31,1,44.4
"2176-001","MBEYA","ILEJE","CHITETE",349,"ILEJE",1,69.31,1,44.4
"2177-001","MBEYA","ILEJE","CHITETE",349,"ILEJE",1,69.31,1,44.4
"2178-001","MBEYA","MBOZI","NYIMBILI",373,"MBOZI MASHARIKI",1,20.49,1,36.72
"2179-001","MBEYA","ILEJE","CHITETE",349,"ILEJE",1,69.31,1,44.4
"2180-001","MBEYA","ILEJE","CHITETE",349,"ILEJE",1,69.31,1,44.4
"2181-001","MBEYA","ILEJE","CHITETE",349,"ILEJE",1,69.31,1,44.4
"2182-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2183-001","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2183-002","MBEYA","MBOZI","LSANSA",367,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2184-001","MBEYA","MBEYA URBAN","ILEMI",364,"MBEYA MJINI",0,29.88,0,13.66
