"","y2_hhid","reg","dis","ward","id","con","ccm_prez05","split_prez05"
"60","0104031001017403","DODOMA","DODOMA RURAL","CHIBELELA",99,"BAHI",1,89.9
"61","0104031001018001","DODOMA","DODOMA RURAL","CHIBELELA",99,"BAHI",1,89.9
"62","0104031001046201","DODOMA","DODOMA RURAL","CHIBELELA",99,"BAHI",1,89.9
"63","0104031001048201","DODOMA","DODOMA RURAL","CHIBELELA",99,"BAHI",1,89.9
"64","0104031001074501","DODOMA","DODOMA RURAL","CHIBELELA",99,"BAHI",1,89.9
"65","0104031001074502","DODOMA","DODOMA RURAL","CHIBELELA",99,"BAHI",1,89.9
"66","0104031001112801","DODOMA","DODOMA RURAL","CHIBELELA",99,"BAHI",1,89.9
"67","0104031001112804","DODOMA","DODOMA RURAL","CHIBELELA",99,"BAHI",1,89.9
"68","0104038003034701","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"69","0104038003039601","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"70","0104038003046001","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"71","0104038003069301","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"72","0104038003076801","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"73","0104038003076803","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"74","0104038003085401","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"75","0104038003105701","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"76","0104038003110801","DODOMA","DODOMA RURAL","BAHI",100,"BAHI",1,89.9
"77","0105009003011401","DODOMA","DODOMA URBAN","CHILANGA",101,"DODOMA MJINI",1,83.2
"78","0105009003034701","DODOMA","DODOMA URBAN","CHILANGA",101,"DODOMA MJINI",1,83.2
"79","0105009003039601","DODOMA","DODOMA URBAN","CHILANGA",101,"DODOMA MJINI",1,83.2
"80","0105009003046001","DODOMA","DODOMA URBAN","CHILANGA",101,"DODOMA MJINI",1,83.2
"81","0105009003059901","DODOMA","DODOMA URBAN","CHILANGA",101,"DODOMA MJINI",1,83.2
"82","0105009003069301","DODOMA","DODOMA URBAN","CHILANGA",101,"DODOMA MJINI",1,83.2
"83","0105009003076801","DODOMA","DODOMA URBAN","CHILANGA",101,"DODOMA MJINI",1,83.2
"84","0105009003105701","DODOMA","DODOMA URBAN","CHILANGA",101,"DODOMA MJINI",1,83.2
"85","0105010004015101","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
"86","0105010004015105","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
"87","0105010004016601","DODOMA","DODOMA URBAN","HOMBOLO",102,"DODOMA MJINI",1,83.2
