id,reg,dis,con,ward
86,DAR-ES-SALAAM,KINONDONI,UBUNGO,UBUNGO
87,DAR-ES-SALAAM,KINONDONI,UBUNGO,MANZESE
88,DAR-ES-SALAAM,KINONDONI,KINONDONI,KIJITONYAMA
89,DAR-ES-SALAAM,KINONDONI,UBUNGO,MBEZI
90,DAR-ES-SALAAM,KINONDONI,KAWE,KAWE
91,DAR-ES-SALAAM,KINONDONI,KAWE,KUNDUCHI
92,DAR-ES-SALAAM,KINONDONI,KAWE,BUNJU
93,DAR-ES-SALAAM,KINONDONI,UBUNGO,MAKUBURI
94,DAR-ES-SALAAM,KINONDONI,UBUNGO,SINZA
95,DAR-ES-SALAAM,KINONDONI,KAWE,MIKOCHENI
96,DAR-ES-SALAAM,KINONDONI,UBUNGO,KIMARA
97,DAR-ES-SALAAM,ILALA,UKONGA,UKONGA
98,DAR-ES-SALAAM,ILALA,UKONGA,PUGU
99,DAR-ES-SALAAM,ILALA,UKONGA,KITUNDA
100,DAR-ES-SALAAM,ILALA,UKONGA,KIPAWA
101,DAR-ES-SALAAM,ILALA,UKONGA,VINGUNGUTI
102,DAR-ES-SALAAM,ILALA,UKONGA,TABATA
103,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,KIGAMBONI
104,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,TOANGOMA
105,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,MJI MWEMA
106,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,CHARAMBE
107,DAR-ES-SALAAM,TEMEKE,TEMEKE,KURASINI
108,DAR-ES-SALAAM,TEMEKE,TEMEKE,TANDIKA
109,DAR-ES-SALAAM,TEMEKE,TEMEKE,MTONI
110,DAR-ES-SALAAM,TEMEKE,TEMEKE,SANDALI
111,DAR-ES-SALAAM,TEMEKE,TEMEKE,MIBURANI
112,DAR-ES-SALAAM,TEMEKE,TEMEKE,TEMEKE
113,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,MBAGALA KUU
114,DAR-ES-SALAAM,TEMEKE,TEMEKE,AZIMIO
115,DAR-ES-SALAAM,TEMEKE,TEMEKE,MAKANGARAWE
116,NA,NA,NA,NA
117,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,PEMBA MNAZI
118,LINDI,KILWA,KILWA KASKAZINI,TINGI
119,LINDI,KILWA,KILWA KASKAZINI,KIPATIMU
120,LINDI,KILWA,KILWA KASKAZINI,NJINJO
121,LINDI,KILWA,KILWA KUSINI,PANDE
122,LINDI,KILWA,KILWA KUSINI,KIVINJE SINGINO
123,LINDI,KILWA,KILWA KUSINI,MASOKO
124,LINDI,LINDI RURAL,MTAMA,NAMUPA
125,LINDI,LINDI RURAL,MTAMA,MNARA
126,LINDI,LINDI RURAL,MCHINGA,MILOLA
127,LINDI,NACHINGWEA,NACHINGWEA,KILIMA RONDO
128,LINDI,LIWALE,LIWALE,LIWALE 'B'
129,LINDI,LIWALE,LIWALE,NGONGOWELE
130,LINDI,LIWALE,LIWALE,MLEMBWE
131,LINDI,LIWALE,LIWALE,LIWALE MJINI
132,LINDI,RUANGWA,RUANGWA,RUANGWA
133,LINDI,RUANGWA,RUANGWA,CHIENJERE
134,LINDI,RUANGWA,RUANGWA,NARUNG'OMBE
135,LINDI,LINDI URBAN,LINDI MJINI,MTANDA
136,LINDI,LINDI URBAN,LINDI MJINI,JAMHURI
137,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,MTINIKO
138,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,DIHIMBA
139,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,MNIMA
140,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,NDUMBWE
141,MTWARA,MTWARA RURAL,MTWARA VIJIJINI,NAUMBU
